fena gözle bakmak,15
sekteye uğramak,14
canına susamak,13
gözleri ışıklı,13
ağzı dolu dolu konuşmak,20
üstüne toz kondurmamak,20
el el üstünde oturmak,18
ateşi uyandırmak,15
üstüne vazife olmamak,19
buradayım diye bağırmak,21
haram etmek,10
zahmet olmak,11
suyu ısınmak,11
dilinin cezasını  çekmek,21
ne fayda,7
ağzının kaşığı  olmamak,20
bini bir paraya,13
aralarında dağlar kadar fark olmak,30
ayağına ip takmak,15
Arafatta soyulmuş hacıya dönmek,28
aklı başına gelmek,16
ıcığını cıcığını çıkarmak,23
canı ile uğraşmak,15
ağzına taş almak,14
aşağı tükürsem sakal yukarı tükürsem bıyık,37
ağzına bir parmak bal çalmak,24
fitne fesat çıkarmak,18
aksi şeytan,10
adaylığını koymak,16
zihnini bulandırmak,18
fıkır fıkır kaynamak,18
su gibi gitmek,12
değer düşümüne uğramak,20
kambur üstüne kambur,18
etekleri zil  çalmak,17
rezil etmek,10
yüreği rahatlamak,16
bir elle verdiğini öbür elle almak,29
abıhayat içmiş,13
belsoğukluğuna uğratmak,22
cemaatle namaz kılmak,19
altını üstüne getirmek,20
atma Recep din kardeşiyiz,22
bohçanın dört ucunu bir araya getirememek,36
ağzının mührü ile,15
dilinin ucunda,13
hazır bulunmak,13
akarı kokarı olmamak,18
albeni vermek,12
haram olmak,10
bir hâl almak,11
baş alamamak,11
aktif rol oynamak,15
pabuç bırakmamak,15
zihnini bozmak,13
bozuk para gibi harcamak,21
ıcığını cıcığını sormak,21
şerrine lanet,12
ricada bulunmak,14
cesaret gelmek,13
aklı yatmak,10
akla karayı seçmek,16
ağzı dili bağlanmak,17
patentinin altına almak,21
yüzüne hasret kalmak,18
ahtapot gibi,11
ben şahımı  bu kadar severim,23
belini bükmek,12
kahır yüzünden lütfa uğramak,25
adımını attırmamak,17
akıllı olmak,11
çın çın ötmek,11
altı kaval üstü şişhane,20
ağzına sıçmak,12
ağız etmek,9
ayvaz kasap hep bir hesap,21
alkış toplamak,13
üstüne kalmak,12
Allah  var,8
felfelek sokmak,14
ahu gibi,7
aklının ucundan bile geçirmemek,28
üstüne gül koklamamak,19
payandaları çözmek,17
hesaptan düşmek,14
dört üstü murat üstü,17
ağzı açık kalmak,14
neyin nesi,9
Alinin külahını Veliye Velinin külahını Aliye giydirmek,49
pislik götürmek,14
beşikten mezara kadar,19
ağzından düşmemek,16
